iter	Accuracy	MultiClass
0	0.7391835017	1.048171435
1	0.7413510101	1.005467011
2	0.7448232323	0.9670584046
3	0.7464856902	0.9329208964
4	0.7476220539	0.9030250965
5	0.7490530303	0.8757601684
6	0.7514309764	0.8520186826
7	0.7515151515	0.8298815035
8	0.7537247475	0.8098183786
9	0.7551136364	0.7916609766
10	0.7567550505	0.7747901951
11	0.7570496633	0.7591530902
12	0.7577861953	0.7449039824
13	0.7597222222	0.7311237025
14	0.7605850168	0.7186852648
15	0.7622474747	0.7073761663
16	0.7632154882	0.6965098695
17	0.7639309764	0.686995222
18	0.7646675084	0.6781016691
19	0.7650042088	0.6698715602
20	0.7659722222	0.6613202815
21	0.7675294613	0.6534384429
22	0.7683080808	0.6462246008
23	0.7695075758	0.639374147
24	0.7706439394	0.6328254291
25	0.7711069024	0.6271209367
26	0.7720328283	0.6215541371
27	0.772790404	0.6167851793
28	0.7731902357	0.6120047144
29	0.7739688552	0.6066488897
30	0.7752525253	0.6019413661
31	0.7763468013	0.5975467679
32	0.7774621212	0.5937956141
33	0.7782617845	0.5896796636
34	0.7788089226	0.5860637814
35	0.7797558923	0.5828147626
36	0.7798400673	0.5800176934
37	0.7803240741	0.5768856505
38	0.7808922559	0.5737732778
39	0.7813973064	0.5708643245
40	0.7818181818	0.5683696206
41	0.7825126263	0.5658772629
42	0.7827651515	0.5632826699
43	0.7833333333	0.5607983311
44	0.7836700337	0.5583397535
45	0.7842592593	0.5557489124
46	0.7851641414	0.5533240508
47	0.7852272727	0.5516402146
48	0.7857112795	0.5496796672
49	0.7864057239	0.54784771
50	0.7865109428	0.5461685255
51	0.7871001684	0.5442932662
52	0.7874158249	0.5423780377
53	0.7876052189	0.5409715661
54	0.7885311448	0.539057721
55	0.7890782828	0.5378727736
56	0.7892045455	0.5364921535
57	0.7893097643	0.5353795364
58	0.7893518519	0.5343237224
59	0.7898779461	0.5330007781
60	0.7903198653	0.531139209
61	0.7906776094	0.5294869019
62	0.7908459596	0.5281950854
63	0.7910984848	0.5267997122
64	0.7916877104	0.5256905202
65	0.7921506734	0.5244589506
66	0.7929503367	0.5231948839
67	0.7931397306	0.522015621
68	0.7934132997	0.5207607981
69	0.7938762626	0.5195130397
70	0.7941498316	0.5184456884
71	0.7943602694	0.5175745124
72	0.7944023569	0.5166574867
73	0.794760101	0.5157032798
74	0.7951178451	0.5150846584
75	0.7950757576	0.5140205004
76	0.7957070707	0.5124532289
77	0.7959806397	0.5112761906
78	0.7960648148	0.5105757367
79	0.796506734	0.5093672763
80	0.7968223906	0.5083462555
81	0.7973274411	0.5075671322
82	0.7971170034	0.5067343367
83	0.7975589226	0.5061132934
84	0.797706229	0.5054173343
85	0.7980429293	0.504511862
86	0.7981481481	0.5039189573
87	0.7986321549	0.5032502405
88	0.7987584175	0.5026301597
89	0.7990109428	0.5017880213
90	0.7991372054	0.5007390938
91	0.7993265993	0.5003523681
92	0.7999158249	0.4994500125
93	0.8001052189	0.4984356846
94	0.800273569	0.4975124254
95	0.8003577441	0.4968606926
96	0.8006734007	0.4962159108
97	0.8007154882	0.4956835071
98	0.8009890572	0.4951459912
99	0.8012415825	0.4944179159
100	0.8015151515	0.4939001011
101	0.8015151515	0.4935914763
102	0.8015782828	0.4931703506
103	0.801746633	0.4927954076
104	0.8016624579	0.4923325546
105	0.8020412458	0.4917798277
106	0.8021885522	0.4914175727
107	0.8025042088	0.4905196399
108	0.8025883838	0.4901329358
109	0.8027988215	0.4894565093
110	0.8028409091	0.488922154
111	0.803219697	0.4884346994
112	0.8033880471	0.4874805474
113	0.8035563973	0.4869406632
114	0.803956229	0.4862448465
115	0.8042087542	0.4854991891
116	0.8043771044	0.4850030189
117	0.8047979798	0.4842230759
118	0.8049452862	0.4835385809
119	0.8053872054	0.48300436
120	0.8057449495	0.4822076563
121	0.8059343434	0.4815513153
122	0.8058712121	0.4811019068
123	0.8062079125	0.4805825729
124	0.8065656566	0.4800459108
125	0.8067340067	0.4798427186
126	0.8069234007	0.4789634279
127	0.8068813131	0.4787220699
128	0.8071759259	0.4784074628
129	0.8072180135	0.478064629
130	0.8074284512	0.4776514141
131	0.8074284512	0.4769738171
132	0.8077441077	0.4760984388
133	0.8081649832	0.4757639474
134	0.8084806397	0.4750551351
135	0.8086279461	0.4747969353
136	0.808733165	0.4742985942
137	0.8093013468	0.4734792157
138	0.8094907407	0.4727721972
139	0.8096380471	0.4722156495
140	0.8098063973	0.4718900371
141	0.809743266	0.4714815565
142	0.8097853535	0.4712591145
143	0.810206229	0.4708347074
144	0.8103535354	0.4702874408
145	0.8106060606	0.4698738142
146	0.8105008418	0.4692149227
147	0.8106271044	0.4690867027
148	0.8105850168	0.4688526652
149	0.8106902357	0.4684011214
150	0.8107954545	0.4678805676
151	0.8108796296	0.4676567129
152	0.8112373737	0.4669580902
153	0.8115530303	0.4666263223
154	0.8118055556	0.4663177846
155	0.8123316498	0.4654127448
156	0.8127104377	0.4647221403
157	0.812773569	0.4643306757
158	0.8129419192	0.4640474288
159	0.813047138	0.4636671685
160	0.8132154882	0.463267652
161	0.8133838384	0.4629020572
162	0.8137205387	0.4623264884
163	0.8140151515	0.4618215127
164	0.8143308081	0.4613930856
165	0.8144360269	0.46095732
166	0.8143097643	0.4608429909
167	0.8143308081	0.4605719261
168	0.8145412458	0.460121448
169	0.8147727273	0.4597072274
170	0.8147727273	0.4593783343
171	0.8150252525	0.4590472831
172	0.8151936027	0.4587470634
173	0.8154040404	0.4583293575
174	0.8154461279	0.457972417
175	0.8156776094	0.4576832176
176	0.8156986532	0.4574824858
177	0.8156776094	0.4572622041
178	0.8156986532	0.4570122255
179	0.8160143098	0.4564232104
180	0.8161195286	0.4560212806
181	0.8162457912	0.4555747611
182	0.8164983165	0.4551149072
183	0.8166035354	0.4547420346
184	0.8166877104	0.4545443971
185	0.8167508418	0.4542357904
186	0.8172348485	0.4536613718
187	0.8172558923	0.4531302913
188	0.8172558923	0.4530189964
189	0.8172348485	0.4525094067
190	0.8175925926	0.452070115
191	0.8178451178	0.4513994294
192	0.8179713805	0.451107124
193	0.8179082492	0.4509156284
194	0.8182659933	0.4504884753
195	0.8185606061	0.4496986257
196	0.8187079125	0.4494455994
197	0.8185816498	0.4493058664
198	0.8189183502	0.4488692274
199	0.8191708754	0.4484235773
200	0.8192550505	0.4480286706
201	0.8194444444	0.4477043532
202	0.8194234007	0.4475803141
203	0.8195496633	0.4472581136
204	0.8199284512	0.4466963178
205	0.8201178451	0.4460587982
206	0.8202441077	0.4457096427
207	0.8204545455	0.4453395147
208	0.820770202	0.4446431044
209	0.8211910774	0.4442772058
210	0.8212542088	0.4440615037
211	0.8216329966	0.4435566259
212	0.8219486532	0.4432438695
213	0.8220117845	0.4427522274
214	0.8223905724	0.4421500749
215	0.8224537037	0.4419659391
216	0.8223695286	0.4418635299
217	0.8224957912	0.4416267954
218	0.8224957912	0.4415198325
219	0.822706229	0.4413152791
220	0.8230008418	0.4409438449
221	0.8232954545	0.4403349038
222	0.8234006734	0.440159242
223	0.8235479798	0.4395915691
224	0.8237584175	0.4391969127
225	0.8237373737	0.4389806395
226	0.8238215488	0.4388695696
227	0.8239057239	0.4384677587
228	0.8238425926	0.4382136336
229	0.8241582492	0.438045413
230	0.8243265993	0.4377542333
231	0.8243686869	0.4374890897
232	0.8245580808	0.4371456944
233	0.8247053872	0.4368747148
234	0.8248106061	0.4366549985
235	0.8246212121	0.4365155833
236	0.8250420875	0.4360009003
237	0.8251893939	0.435727052
238	0.8258627946	0.4350847048
239	0.8257996633	0.4348305578
240	0.8260732323	0.4345880708
241	0.8261784512	0.4342208699
242	0.8261784512	0.4340593112
243	0.8263257576	0.4337017995
244	0.8263257576	0.4335080072
245	0.8265993266	0.4330571078
246	0.8267255892	0.4325771703
247	0.8267676768	0.4323076055
248	0.8271043771	0.4318486652
249	0.8273148148	0.4315565233
250	0.8275042088	0.4313982786
251	0.8275673401	0.4312646648
252	0.8277146465	0.4310051022
253	0.8275883838	0.4306624294
254	0.827756734	0.430412043
255	0.8278829966	0.4302327974
256	0.8280934343	0.4299607895
